ID,Type,SKU,Name,Published,Short description,Description,Regular price,Sale price,Categories,Images,Stock,Manage stock,Backorders,Tax status,Tax class,Tags
,simple,ACTOFIT-CR-PANT,ACTOFIT CR PANT,1,ACTOFIT CR PANT - high-quality product in the Clothing category.,ACTOFIT CR PANT is a premium product designed for Clothing training and matches. Ideal for athletes and sports enthusiasts.,999,,Clothing,https://placehold.co/600x600/f5f5f5/333333.png?text=ACTOFIT%20CR%20PANT,10,yes,no,taxable,standard,
,simple,ADIDAS-SHORTS,ADIDAS SHORTS,1,ADIDAS SHORTS - high-quality product in the Clothing category.,ADIDAS SHORTS is a premium product designed for Clothing training and matches. Ideal for athletes and sports enthusiasts.,999,,Clothing,https://placehold.co/600x600/f5f5f5/333333.png?text=ADIDAS%20SHORTS,10,yes,no,taxable,standard,
,simple,ADIDAS-VIETNAM,ADIDAS VIETNAM,1,ADIDAS VIETNAM - high-quality product in the Clothing category.,ADIDAS VIETNAM is a premium product designed for Clothing training and matches. Ideal for athletes and sports enthusiasts.,999,,Clothing,https://placehold.co/600x600/f5f5f5/333333.png?text=ADIDAS%20VIETNAM,10,yes,no,taxable,standard,
,simple,AIR-FORCE-77-G3,AIR FORCE-77-G3,1,AIR FORCE-77-G3 - high-quality Racket in the Badminton category.,AIR FORCE-77-G3 is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/AirForceG3-77grams_2_720x.webp,10,yes,no,taxable,standard,
,simple,AIR-PUMP,AIR PUMP,1,AIR PUMP - high-quality product in the F/Ball Accessories category.,AIR PUMP is a premium product designed for F/Ball Accessories training and matches. Ideal for athletes and sports enthusiasts.,999,,F/Ball Accessories,https://placehold.co/600x600/f5f5f5/333333.png?text=AIR%20PUMP,10,yes,no,taxable,standard,
,simple,ANKLE-SOCKS,ANKLE SOCKS,1,ANKLE SOCKS - high-quality product in the Multipurpose Socks category.,ANKLE SOCKS is a premium product designed for Multipurpose Socks training and matches. Ideal for athletes and sports enthusiasts.,999,,Multipurpose Socks,https://placehold.co/600x600/f5f5f5/333333.png?text=ANKLE%20SOCKS,10,yes,no,taxable,standard,
,simple,ANKLE-SOCKS-JOY-NITTS,ANKLE SOCKS JOY NITTS,1,ANKLE SOCKS JOY NITTS - high-quality product in the Multipurpose Socks category.,ANKLE SOCKS JOY NITTS is a premium product designed for Multipurpose Socks training and matches. Ideal for athletes and sports enthusiasts.,999,,Multipurpose Socks,https://placehold.co/600x600/f5f5f5/333333.png?text=ANKLE%20SOCKS%20JOY%20NITTS,10,yes,no,taxable,standard,
,simple,ANKLE-SUPPORTER,ANKLE SUPPORTER,1,ANKLE SUPPORTER - high-quality product in the Multipurpose Socks category.,ANKLE SUPPORTER is a premium product designed for Multipurpose Socks training and matches. Ideal for athletes and sports enthusiasts.,999,,Multipurpose Socks,https://placehold.co/600x600/f5f5f5/333333.png?text=ANKLE%20SUPPORTER,10,yes,no,taxable,standard,
,simple,ANKLE-WEIGHT-5KG,ANKLE WEIGHT .5KG,1,ANKLE WEIGHT .5KG - high-quality product in the Fitness category.,ANKLE WEIGHT .5KG is a premium product designed for Fitness training and matches. Ideal for athletes and sports enthusiasts.,999,,Fitness,https://placehold.co/600x600/f5f5f5/333333.png?text=ANKLE%20WEIGHT%20.5KG,10,yes,no,taxable,standard,
,simple,APACS-ZIGGLER,APACS ZIGGLER,1,APACS ZIGGLER - high-quality Racket in the Badminton category.,APACS ZIGGLER is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/apacs-ziggler.jpg,10,yes,no,taxable,standard,
,simple,ARCSABER7-PLAY-4U,ARCSABER7 PLAY 4U,1,ARCSABER7 PLAY 4U - high-quality Racket in the Badminton category.,ARCSABER7 PLAY 4U is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/arc7-play-frame_grayyellow-1200x1200-1.webp,10,yes,no,taxable,standard,
,simple,ARCSABER7-TOUR-4U,ARCSABER7 TOUR 4U,1,ARCSABER7 TOUR 4U - high-quality Racket in the Badminton category.,ARCSABER7 TOUR 4U is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/arc7-tour-1200x1200-1.webp,10,yes,no,taxable,standard,
,simple,AS2-FEATHER-SHUTTLE,AS2 FEATHER SHUTTLE,1,AS2 FEATHER SHUTTLE - high-quality Cork in the Badminton category.,AS2 FEATHER SHUTTLE is a premium Cork designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Cork,https://placehold.co/600x600/f5f5f5/333333.png?text=AS2%20FEATHER%20SHUTTLE,10,yes,no,taxable,standard,
,simple,ASE-CRICKET-SHOE-GOLD-CG102,ASE CRICKET SHOE GOLD CG102,1,ASE CRICKET SHOE GOLD CG102 - high-quality product in the Cricket category.,ASE CRICKET SHOE GOLD CG102 is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=ASE%20CRICKET%20SHOE%20GOLD%20CG102,10,yes,no,taxable,standard,
,simple,ASE-MARTINAM-SHOES-GOLD,ASE MARTINAM SHOES GOLD,1,ASE MARTINAM SHOES GOLD - high-quality product in the jagging category.,ASE MARTINAM SHOES GOLD is a premium product designed for jagging training and matches. Ideal for athletes and sports enthusiasts.,999,,jagging,https://placehold.co/600x600/f5f5f5/333333.png?text=ASE%20MARTINAM%20SHOES%20GOLD,10,yes,no,taxable,standard,
,simple,ASHWIN-STRIKER,ASHWIN STRIKER,1,ASHWIN STRIKER - high-quality product in the Carrom category.,ASHWIN STRIKER is a premium product designed for Carrom training and matches. Ideal for athletes and sports enthusiasts.,999,,Carrom,https://placehold.co/600x600/f5f5f5/333333.png?text=ASHWIN%20STRIKER,10,yes,no,taxable,standard,
,simple,ASMI-STRIKER-SUPER-FINE,ASMI STRIKER SUPER FINE,1,ASMI STRIKER SUPER FINE - high-quality product in the Carrom category.,ASMI STRIKER SUPER FINE is a premium product designed for Carrom training and matches. Ideal for athletes and sports enthusiasts.,999,,Carrom,https://placehold.co/600x600/f5f5f5/333333.png?text=ASMI%20STRIKER%20SUPER%20FINE,10,yes,no,taxable,standard,
,simple,ASTROX-100-GAME,ASTROX 100 GAME,1,ASTROX 100 GAME - high-quality Racket in the Badminton category.,ASTROX 100 GAME is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/astrox100game-shaft-1200x1200-1.webp,10,yes,no,taxable,standard,
,simple,ASTROX-100-TOUR-4U,ASTROX 100 TOUR 4U,1,ASTROX 100 TOUR 4U - high-quality Racket in the Badminton category.,ASTROX 100 TOUR 4U is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/astrox100tour-500x500-1.webp,10,yes,no,taxable,standard,
,simple,ASTROX-77-PLAY-HIGH-G5,ASTROX 77 PLAY HIGH G5,1,ASTROX 77 PLAY HIGH G5 - high-quality Racket in the Badminton category.,ASTROX 77 PLAY HIGH G5 is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/ax77-play-shaft-1200x1200-1.webp,10,yes,no,taxable,standard,
,simple,ASTROX-88D-TOUR,ASTROX 88D TOUR,1,ASTROX 88D TOUR - high-quality Racket in the Badminton category.,ASTROX 88D TOUR is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/astrox-88D-tour.webp,10,yes,no,taxable,standard,
,simple,ASTROX-99-TOUR,ASTROX 99 TOUR,1,ASTROX 99 TOUR - high-quality Racket in the Badminton category.,ASTROX 99 TOUR is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/astrox-99-tour.webp,10,yes,no,taxable,standard,
,simple,ASTROX-ATTACK-10-DG,ASTROX ATTACK 10 DG,1,ASTROX ATTACK 10 DG - high-quality Racket in the Badminton category.,ASTROX ATTACK 10 DG is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/yonex-astrox-10-dg-badminton-racquet-head-view.webp,10,yes,no,taxable,standard,
,simple,ASTROX-LITE-37I-5U,ASTROX LITE 37I 5U,1,ASTROX LITE 37I 5U - high-quality Racket in the Badminton category.,ASTROX LITE 37I 5U is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/Astrox-Lite-37i-badminton-racquet.jpg,10,yes,no,taxable,standard,
,simple,AX-ATTACK-9,AX ATTACK 9,1,AX ATTACK 9 - high-quality Racket in the Badminton category.,AX ATTACK 9 is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/Astrox_Attack_1.webp,10,yes,no,taxable,standard,
,simple,BAASKET-BALL-BD-SMALL,BAASKET BALL BD SMALL,1,BAASKET BALL BD SMALL - high-quality product in the Baskatball category.,BAASKET BALL BD SMALL is a premium product designed for Baskatball training and matches. Ideal for athletes and sports enthusiasts.,999,,Baskatball,https://placehold.co/600x600/f5f5f5/333333.png?text=BAASKET%20BALL%20BD%20SMALL,10,yes,no,taxable,standard,
,simple,BABY-HURDLES,BABY HURDLES,1,BABY HURDLES - high-quality product in the Fitness category.,BABY HURDLES is a premium product designed for Fitness training and matches. Ideal for athletes and sports enthusiasts.,999,,Fitness,https://placehold.co/600x600/f5f5f5/333333.png?text=BABY%20HURDLES,10,yes,no,taxable,standard,
,simple,BADMINTON-KIT-BAG,BADMINTON KIT BAG,1,BADMINTON KIT BAG - high-quality Kit bag in the Badminton category.,BADMINTON KIT BAG is a premium Kit bag designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Kit bag,https://placehold.co/600x600/f5f5f5/333333.png?text=BADMINTON%20KIT%20BAG,10,yes,no,taxable,standard,
,simple,BADMINTON-KITS-GOLD,BADMINTON KITS GOLD,1,BADMINTON KITS GOLD - high-quality Kit bag in the Badminton category.,BADMINTON KITS GOLD is a premium Kit bag designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Kit bag,https://placehold.co/600x600/f5f5f5/333333.png?text=BADMINTON%20KITS%20GOLD,10,yes,no,taxable,standard,
,simple,BADMINTON-SHOE-HALBERD-STRIKE,BADMINTON SHOE HALBERD STRIKE,1,BADMINTON SHOE HALBERD STRIKE - high-quality Shoe in the Badminton category.,BADMINTON SHOE HALBERD STRIKE is a premium Shoe designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Shoe,https://placehold.co/600x600/f5f5f5/333333.png?text=BADMINTON%20SHOE%20HALBERD%20STRIKE,10,yes,no,taxable,standard,
,simple,BASKET-BALL,BASKET BALL,1,BASKET BALL - high-quality product in the Baskatball category.,BASKET BALL is a premium product designed for Baskatball training and matches. Ideal for athletes and sports enthusiasts.,999,,Baskatball,https://placehold.co/600x600/f5f5f5/333333.png?text=BASKET%20BALL,10,yes,no,taxable,standard,
,simple,BASKET-BALL-BD-BIG,BASKET BALL BD BIG,1,BASKET BALL BD BIG - high-quality product in the Baskatball category.,BASKET BALL BD BIG is a premium product designed for Baskatball training and matches. Ideal for athletes and sports enthusiasts.,999,,Baskatball,https://placehold.co/600x600/f5f5f5/333333.png?text=BASKET%20BALL%20BD%20BIG,10,yes,no,taxable,standard,
,simple,BASKET-BALL-BD-MEDIUM,BASKET BALL BD MEDIUM,1,BASKET BALL BD MEDIUM - high-quality product in the Baskatball category.,BASKET BALL BD MEDIUM is a premium product designed for Baskatball training and matches. Ideal for athletes and sports enthusiasts.,999,,Baskatball,https://placehold.co/600x600/f5f5f5/333333.png?text=BASKET%20BALL%20BD%20MEDIUM,10,yes,no,taxable,standard,
,simple,BATTING-GLOVE-RSD-PROLITE,BATTING GLOVE RSD PROLITE,1,BATTING GLOVE RSD PROLITE - high-quality product in the Cricket category.,BATTING GLOVE RSD PROLITE is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=BATTING%20GLOVE%20RSD%20PROLITE,10,yes,no,taxable,standard,
,simple,BATTING-GLOVE-XTREME-M-LH,BATTING GLOVE XTREME M LH,1,BATTING GLOVE XTREME M LH - high-quality product in the Cricket category.,BATTING GLOVE XTREME M LH is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=BATTING%20GLOVE%20XTREME%20M%20LH,10,yes,no,taxable,standard,
,simple,BATTING-GLOVES-BLAZE-LITE,BATTING GLOVES BLAZE LITE,1,BATTING GLOVES BLAZE LITE - high-quality product in the Cricket category.,BATTING GLOVES BLAZE LITE is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=BATTING%20GLOVES%20BLAZE%20LITE,10,yes,no,taxable,standard,
,simple,BATTING-GLOVES-CLUBLITE-MEN,BATTING GLOVES CLUBLITE MEN,1,BATTING GLOVES CLUBLITE MEN - high-quality product in the Cricket category.,BATTING GLOVES CLUBLITE MEN is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=BATTING%20GLOVES%20CLUBLITE%20MEN,10,yes,no,taxable,standard,
,simple,BATTING-GLOVES-JUNIOR,BATTING GLOVES JUNIOR,1,BATTING GLOVES JUNIOR - high-quality product in the Cricket category.,BATTING GLOVES JUNIOR is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=BATTING%20GLOVES%20JUNIOR,10,yes,no,taxable,standard,
,simple,BATTING-GLOVES-SUPER-LITE,BATTING GLOVES SUPER LITE,1,BATTING GLOVES SUPER LITE - high-quality product in the Cricket category.,BATTING GLOVES SUPER LITE is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=BATTING%20GLOVES%20SUPER%20LITE,10,yes,no,taxable,standard,
,simple,BATTING-GLOVES-TON-999,BATTING GLOVES TON 999,1,BATTING GLOVES TON 999 - high-quality product in the Cricket category.,BATTING GLOVES TON 999 is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=BATTING%20GLOVES%20TON%20999,10,yes,no,taxable,standard,
,simple,BEACH-VOLLEY-BALL,BEACH VOLLEY BALL,1,BEACH VOLLEY BALL - high-quality product in the Volley ball category.,BEACH VOLLEY BALL is a premium product designed for Volley ball training and matches. Ideal for athletes and sports enthusiasts.,999,,Volley ball,https://placehold.co/600x600/f5f5f5/333333.png?text=BEACH%20VOLLEY%20BALL,10,yes,no,taxable,standard,
,simple,BG65,BG65,1,BG65 - high-quality String in the Badminton category.,BG65 is a premium String designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > String,https://placehold.co/600x600/f5f5f5/333333.png?text=BG65,10,yes,no,taxable,standard,
,simple,BG65-GUTTING,BG65 GUTTING,1,BG65 GUTTING - high-quality String in the Badminton category.,BG65 GUTTING is a premium String designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > String,https://placehold.co/600x600/f5f5f5/333333.png?text=BG65%20GUTTING,10,yes,no,taxable,standard,
,simple,BG65-TI-GUTTING,BG65 TI GUTTING,1,BG65 TI GUTTING - high-quality String in the Badminton category.,BG65 TI GUTTING is a premium String designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > String,https://placehold.co/600x600/f5f5f5/333333.png?text=BG65%20TI%20GUTTING,10,yes,no,taxable,standard,
,simple,BG65TI,BG65TI,1,BG65TI - high-quality String in the Badminton category.,BG65TI is a premium String designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > String,https://placehold.co/600x600/f5f5f5/333333.png?text=BG65TI,10,yes,no,taxable,standard,
,simple,BG66,BG66,1,BG66 - high-quality String in the Badminton category.,BG66 is a premium String designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > String,https://placehold.co/600x600/f5f5f5/333333.png?text=BG66,10,yes,no,taxable,standard,
,simple,BG80,BG80,1,BG80 - high-quality product in the Badminton category.,BG80 is a premium product designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton,https://placehold.co/600x600/f5f5f5/333333.png?text=BG80,10,yes,no,taxable,standard,
,simple,BLADE-ARMOR,BLADE ARMOR,1,BLADE ARMOR - high-quality Racket in the Badminton category.,BLADE ARMOR is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://placehold.co/600x600/f5f5f5/333333.png?text=BLADE%20ARMOR,10,yes,no,taxable,standard,
,simple,BLADE-LITE-II,BLADE LITE II,1,BLADE LITE II - high-quality Racket in the Badminton category.,BLADE LITE II is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://placehold.co/600x600/f5f5f5/333333.png?text=BLADE%20LITE%20II,10,yes,no,taxable,standard,
,simple,BLADE-PRO,BLADE PRO,1,BLADE PRO - high-quality Racket in the Badminton category.,BLADE PRO is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://placehold.co/600x600/f5f5f5/333333.png?text=BLADE%20PRO,10,yes,no,taxable,standard,
,simple,C-BAT-K-W-PLAYERS-SIZE-6,C/BAT K/W PLAYERS SIZE 6,1,C/BAT K/W PLAYERS SIZE 6 - high-quality product in the Cricket category.,C/BAT K/W PLAYERS SIZE 6 is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=C%2FBAT%20K%2FW%20PLAYERS%20SIZE%206,10,yes,no,taxable,standard,
,simple,C-BAT-KW-SCORER-CLASSIC-6,C/BAT/KW SCORER CLASSIC 6,1,C/BAT/KW SCORER CLASSIC 6 - high-quality product in the Cricket category.,C/BAT/KW SCORER CLASSIC 6 is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=C%2FBAT%2FKW%20SCORER%20CLASSIC%206,10,yes,no,taxable,standard,
,simple,CAP-CSK,CAP CSK,1,CAP CSK - high-quality product in the Cricket category.,CAP CSK is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=CAP%20CSK,10,yes,no,taxable,standard,
,simple,CARBOTEK-1000,CARBOTEK 1000,1,CARBOTEK 1000 - high-quality product in the Cricket category.,CARBOTEK 1000 is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=CARBOTEK%201000,10,yes,no,taxable,standard,
,simple,CARBOTEK-1000-SET-OF-2,CARBOTEK 1000 SET OF 2,1,CARBOTEK 1000 SET OF 2 - high-quality product in the Cricket category.,CARBOTEK 1000 SET OF 2 is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=CARBOTEK%201000%20SET%20OF%202,10,yes,no,taxable,standard,
,simple,CAST-IRON-DUMBELLS-1-KG,CAST IRON DUMBELLS 1 KG,1,CAST IRON DUMBELLS 1 KG - high-quality product in the Dumbells category.,CAST IRON DUMBELLS 1 KG is a premium product designed for Dumbells training and matches. Ideal for athletes and sports enthusiasts.,999,,Dumbells,https://placehold.co/600x600/f5f5f5/333333.png?text=CAST%20IRON%20DUMBELLS%201%20KG,10,yes,no,taxable,standard,
,simple,CHESS-BOARD,CHESS BOARD,1,CHESS BOARD - high-quality product in the Chess category.,CHESS BOARD is a premium product designed for Chess training and matches. Ideal for athletes and sports enthusiasts.,999,,Chess,https://placehold.co/600x600/f5f5f5/333333.png?text=CHESS%20BOARD,10,yes,no,taxable,standard,
,simple,CHESS-BOARD-VIXEN,CHESS BOARD VIXEN,1,CHESS BOARD VIXEN - high-quality product in the Chess category.,CHESS BOARD VIXEN is a premium product designed for Chess training and matches. Ideal for athletes and sports enthusiasts.,999,,Chess,https://placehold.co/600x600/f5f5f5/333333.png?text=CHESS%20BOARD%20VIXEN,10,yes,no,taxable,standard,
,simple,CHESS-COINS-VELVET,CHESS COINS VELVET,1,CHESS COINS VELVET - high-quality product in the Chess category.,CHESS COINS VELVET is a premium product designed for Chess training and matches. Ideal for athletes and sports enthusiasts.,999,,Chess,https://placehold.co/600x600/f5f5f5/333333.png?text=CHESS%20COINS%20VELVET,10,yes,no,taxable,standard,
,simple,CHESS-MASTER-COINS,CHESS MASTER COINS,1,CHESS MASTER COINS - high-quality product in the Chess category.,CHESS MASTER COINS is a premium product designed for Chess training and matches. Ideal for athletes and sports enthusiasts.,999,,Chess,https://placehold.co/600x600/f5f5f5/333333.png?text=CHESS%20MASTER%20COINS,10,yes,no,taxable,standard,
,simple,CHESS-MAT,CHESS MAT,1,CHESS MAT - high-quality product in the Chess category.,CHESS MAT is a premium product designed for Chess training and matches. Ideal for athletes and sports enthusiasts.,999,,Chess,https://placehold.co/600x600/f5f5f5/333333.png?text=CHESS%20MAT,10,yes,no,taxable,standard,
,simple,CHINA-FOAM-ROLL-SMALL,CHINA FOAM ROLL SMALL,1,CHINA FOAM ROLL SMALL - high-quality product in the Fitness category.,CHINA FOAM ROLL SMALL is a premium product designed for Fitness training and matches. Ideal for athletes and sports enthusiasts.,999,,Fitness,https://placehold.co/600x600/f5f5f5/333333.png?text=CHINA%20FOAM%20ROLL%20SMALL,10,yes,no,taxable,standard,
,simple,COCK-NYLON-T-500,COCK NYLON T-500,1,COCK NYLON T-500 - high-quality Cork in the Badminton category.,COCK NYLON T-500 is a premium Cork designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Cork,https://placehold.co/600x600/f5f5f5/333333.png?text=COCK%20NYLON%20T-500,10,yes,no,taxable,standard,
,simple,COMPRESSION-SHORTS,COMPRESSION SHORTS,1,COMPRESSION SHORTS - high-quality product in the Clothing category.,COMPRESSION SHORTS is a premium product designed for Clothing training and matches. Ideal for athletes and sports enthusiasts.,999,,Clothing,https://placehold.co/600x600/f5f5f5/333333.png?text=COMPRESSION%20SHORTS,10,yes,no,taxable,standard,
,simple,COMPRESSION-TIGHTS,COMPRESSION TIGHTS,1,COMPRESSION TIGHTS - high-quality product in the Clothing category.,COMPRESSION TIGHTS is a premium product designed for Clothing training and matches. Ideal for athletes and sports enthusiasts.,999,,Clothing,https://placehold.co/600x600/f5f5f5/333333.png?text=COMPRESSION%20TIGHTS,10,yes,no,taxable,standard,
